beach_id,marina_id,udaljenost_km
1,node/431088510,1.74
1,node/497549320,5.82
1,node/517872826,1.54
1,node/517904544,1.29
1,node/1449508274,2.06
1,node/1860020712,1.78
1,node/4262750427,7.12
1,node/12409171546,6.23
1,node/13507759987,0.65
2,node/431088510,2.55
2,node/497549320,5.05
2,node/517872826,0.89
2,node/517904544,1.22
2,node/1449508274,1.35
2,node/1860020712,2.63
2,node/4262750427,6.23
2,node/12409171546,7.04
2,node/13507759987,1.52
3,node/431088510,2.33
3,node/497549320,5.1
3,node/517872826,0.84
3,node/517904544,1.01
3,node/1449508274,1.35
3,node/1860020712,2.43
3,node/4262750427,6.37
3,node/12409171546,6.82
3,node/13507759987,1.34
4,node/431088510,2.15
4,node/497549320,5.43
4,node/517872826,1.18
4,node/517904544,1.19
4,node/1449508274,1.69
4,node/1860020712,2.21
4,node/4262750427,6.67
4,node/12409171546,6.65
4,node/13507759987,1.09
5,node/431088510,1.12
5,node/497549320,6.2
5,node/517872826,1.95
5,node/517904544,1.4
5,node/1449508274,2.47
5,node/1860020712,1.15
5,node/4262750427,7.64
5,node/12409171546,5.6
5,node/13507759987,0.07
6,node/482841052,1.85
6,node/1419109827,5.03
6,node/1747950843,9.53
6,node/4252915096,9.96
7,node/579792962,5.96
7,node/579794631,8.1
7,node/673411579,8.18
7,node/2951332985,4.93
8,node/1394720950,2.55
8,node/1599814456,3.36
8,node/2008968277,9.12
8,node/10280266203,6.68
8,node/11483245295,9.26
8,node/11833156908,4.95
9,node/1394720950,2.87
9,node/1599814456,3.09
9,node/2008968277,9.43
9,node/10280266203,6.4
9,node/11483245295,9.57
9,node/11833156908,5.22
10,node/3670462062,4.51
11,node/431088510,9.9
11,node/579792962,3.6
11,node/579794631,0.76
11,node/673411579,2.26
11,node/1860020712,9.8
11,node/2951332985,4.42
11,node/12409171546,5.55
12,node/1394720950,4.92
12,node/1599814456,0.9
12,node/10280266203,4.22
12,node/11833156908,7.4
13,node/1394720950,4.98
13,node/1599814456,0.82
13,node/10280266203,4.15
13,node/11833156908,7.51
20,node/1394720950,2.19
20,node/1599814456,7.62
20,node/2008968277,5.2
20,node/11483245295,5.35
20,node/11833156908,0.72
21,node/1394720950,2.46
21,node/1599814456,7.87
21,node/2008968277,5.05
21,node/11483245295,5.2
21,node/11833156908,0.45
22,node/1419109827,4.51
