grad,centar_lat,centar_lon,tip
Arbanija,43.512771,16.301694,otok
Bale,45.041053,13.786641,obala
Barban,45.064724,14.016195,obala
Baška,44.970933,14.750801,otok
Baška Voda,43.358511,16.948781,obala
Benkovac,44.033355,15.612851,obala
Bibinje,44.071152,15.283813,obala
Biograd n/m,43.93567,15.448123,obala
Blato,42.938831,16.79127,otok
Bol,43.260519,16.652019,otok
Bračtuš,43.328062,16.978576,obala
Brela,43.368438,16.932116,obala
Brist,43.120308,17.320962,obala
Brtonigla,45.378517,13.625941,obala
Buje,45.408387,13.658753,obala
Cres,44.960333,14.407889,otok
Crikvenica,45.173705,14.692791,obala
Dobrinj,45.130226,14.603606,otok
Drašnice,43.218062,17.110746,obala
Drvenik,43.155949,17.247262,obala
Dubrovačko primorje,42.834338,17.828948,obala
Dubrovnik,42.649103,18.09395,obala
Dugi Rat,43.445362,16.64165,obala
Duće,43.440538,16.665699,obala
Fažana,44.927333,13.805077,obala
Funtana,45.174804,13.605383,obala
Gradac,43.106453,17.341693,obala
Hvar,43.173941,16.556516,otok
Igrane,43.196171,17.138893,obala
Ist,44.275023,14.76151,otok
Iž,44.040189,15.11473,otok
Janjina,42.925148,17.428884,obala
Jasenice,44.229109,15.576578,obala
Jelsa,43.16081,16.693143,otok
Kali,44.063571,15.206374,otok
Karlobag,44.527923,15.072495,obala
Kaštel Gomilica,43.54854,16.399416,obala
Kaštel Kambelovac,43.551199,16.381308,obala
Kaštel Lukšić,43.553406,16.363163,obala
Kaštel Stari,43.553565,16.348308,obala
Kaštel Sućurac,43.547131,16.42692,obala
Kaštel Štafilić,43.545868,16.323942,obala
Kolan,44.493882,14.961256,obala
Komiža,43.044573,16.090491,otok
Konavle,42.505833,18.389484,obala
Korčula,42.943781,16.913476,otok
Kostrena,45.298163,14.510908,obala
Kraljevica,45.274132,14.568874,obala
Krk,45.090195,14.549668,otok
Krvavica,43.327389,16.985804,obala
Kršan,45.175401,14.1379,obala
Kukljica,44.03359,15.245769,otok
Labin,45.091395,14.123601,obala
Lastovo,42.750601,16.879904,otok
Lokva Rogoznica,43.414843,16.76927,obala
Lopar,44.829917,14.731283,otok
Lovran,45.291681,14.27626,obala
Lumbarda,42.922565,17.169004,otok
Makarska,43.293976,17.020242,obala
Mali Lošinj,44.531606,14.469411,otok
Malinska,45.12354,14.526219,otok
Marina,43.513855,16.108833,obala
Marčana,44.955843,13.956045,obala
Maslinica,43.399123,16.206618,otok
Medulin,44.821786,13.936714,obala
Milna,43.327179,16.44911,otok
Mljet,42.745977,17.546566,otok
Molat,44.231821,14.83989,otok
Mošćenička Draga,45.23885,14.253093,obala
Murter Kornati,43.805438,15.322074,otok
Nin,44.243074,15.184026,obala
Novalja,44.556117,14.884472,obala
Novi Vinodolski,45.133012,14.784759,obala
Novigrad-istarska,45.315918,13.563028,obala
Novigrad-zadarska,44.1817,15.5514,obala
Obrovac,44.200977,15.6821,obala
Okrug Donji,43.497268,16.220146,obala
Okrug Gornji,43.493475,16.264447,obala
Olib,44.381373,14.786742,otok
Omiš,43.443497,16.692277,obala
Omišalj,45.210867,14.55649,obala
"Omiššalj, Njivice",45.166725,14.544188,obala
Opatija,45.334924,14.306783,obala
Opuzen,43.017045,17.563574,obala
Orebić,42.976914,17.183237,obala
Pag,44.496613,14.946185,obala
Pakoštane,43.908272,15.506095,obala
Pašman,43.954085,15.349044,otok
Pirovac,43.816939,15.667867,obala
Pisak,43.39975,16.861899,obala
Ploče,43.052429,17.436068,obala
Podgora,43.243347,17.075071,obala
Podstrana,43.490312,16.561561,obala
Poreč,45.227196,13.595733,obala
Posedarje,44.211173,15.477695,obala
Postira,43.375492,16.627931,obala
Povlja,43.333192,16.837703,obala
Preko,44.081257,15.187647,otok
Premuda,44.329502,14.62515,otok
Primošten,43.586326,15.922777,obala
Privlaka,44.261178,15.119116,obala
Pula,44.870228,13.845531,obala
Punat,45.019588,14.631247,otok
Pučišća,43.347941,16.732071,otok
Rab,44.756289,14.760737,otok
Rava,44.02509,15.06356,obala
Raša,45.080594,14.083846,obala
Ražanac,44.282054,15.347639,obala
Resnik,43.540507,16.315073,obala
Rijeka,45.326798,14.442208,obala
Rogač,43.394475,16.298701,otok
Rogoznica,43.526374,15.969302,obala
Rovinj,45.080741,13.641728,obala
Saldun,43.51085,16.251011,obala
Sali,43.938195,15.163386,otok
Sali-Verunić,44.133805,14.872742,otok
Seget,43.511818,16.201487,obala
Selca,43.295084,16.848687,obala
Senj,44.879583,14.892843,obala
Silba,44.380121,14.695324,otok
Skradin,43.817846,15.923319,obala
Slivno,42.961551,17.523217,obala
Smokvica,42.9283,16.893857,otok
Split,43.511638,16.439966,obala
Split/Šlatine,43.499772,16.339138,obala
Splitska,43.378087,16.602789,obala
Stari Grad,43.184144,16.599003,otok
Starigrad,44.313733,15.394667,obala
Starigrad-Paklenica,44.295054,15.439842,obala
Ston,42.838348,17.69627,obala
Sukošan,44.04638,15.314505,obala
Sumartin,43.286369,16.86963,obala
Supetar,43.382583,16.553211,otok
Sutivan,43.384797,16.47932,otok
Sveti Filip i Jakov,43.962469,15.425425,obala
Tar-Vabriga,45.299718,13.617825,obala
Tisno,43.798723,15.641541,obala
Tkon,43.920822,15.419695,obala
Tribunj,43.756172,15.746118,obala
Trogir,43.516414,16.249716,obala
Trpanj,43.008044,17.273354,obala
Tučepi,43.265134,17.058095,obala
Umag,45.432359,13.52241,obala
Vela Luka,42.960977,16.718018,otok
Vir,44.304457,15.06749,obala
Vis,43.043421,16.165472,otok
Vodice,43.758806,15.776918,obala
Vodnjan,44.960339,13.84978,obala
Vrbnik,45.075728,14.674419,otok
Vrboska,43.181718,16.671232,otok
Vrsar,45.149078,13.606347,obala
Vrsi,44.261632,15.233845,obala
Zadar,44.116859,15.235326,obala
Zaostrog,43.14047,17.27954,obala
Šibenik,43.734065,15.894477,obala
Živogošće,43.188147,17.160586,obala
Župa dubrovačka,42.630571,18.180191,obala
