id,naziv,tip,lat,lon,website,telefon
node/293728328,Marina bez naziva (node/293728328),marina,44.7475318,14.7843715,,
node/293728330,Marina bez naziva (node/293728330),marina,44.731896,14.8069864,,
node/309284243,Luka Sali,marina,43.9365881,15.166874,https://www.cpa-zadar.hr/luka/luka-sali/43.html,+385 23 377 042
node/418342927,Marina bez naziva (node/418342927),marina,45.4512731,13.5160718,,
node/431088510,Marina Veruda - Pula,marina,44.84,13.841667,https://www.marina-veruda.hr/,+385 52 224 034
node/445327431,Marina bez naziva (node/445327431),marina,43.2163084,17.1102416,,
node/445327437,Igrane,marina,43.194349,17.1398521,,
node/445327455,Marina bez naziva (node/445327455),marina,43.2841836,16.8729999,,
node/472380491,Lučica Slatine,marina,43.4993609,16.3395421,,
node/482841052,Marina bez naziva (node/482841052),marina,45.0201779,14.0553096,,
node/486087252,Marina bez naziva (node/486087252),marina,43.7763191,15.630727,,
node/486131933,Sovlja,marina,43.7624133,15.730394,,
node/488321039,Nehaj,marina,45.641525,18.5129513,,
node/495546023,Marina Hramina,marina,43.8268424,15.5917517,http://www.marina-hramina.hr,+385 22 434 411
node/497549320,Marina bez naziva (node/497549320),marina,44.8090049,13.9165631,,
node/498376267,Marina Vlaška,marina,43.3294534,16.4396584,http://www.marinavlaska.com,+385 99 2447410; +385 21 636247
node/517872826,Marina bez naziva (node/517872826),marina,44.820967,13.8649159,,
node/517904544,Marina bez naziva (node/517904544),marina,44.8284663,13.8615075,,
node/568521484,Marina bez naziva (node/568521484),marina,43.4502454,16.6259772,,
node/573259121,ACI - Marina Mali Losinj,marina,44.5436418,14.4604554,,
node/573259237,Neue Steganlage - Marina,marina,44.5443759,14.4577088,,
node/573324401,Ilovik,marina,44.4617877,14.5486475,https://www.ilovik.hr/kontakt,
node/573329555,Rovenska,marina,44.5211564,14.5072009,,
node/579792962,Sv. Mikula,marina,44.9335435,13.7387588,,
node/579794631,Marina-Brioni,marina,44.9170747,13.7681665,,
node/580692583,Marina bez naziva (node/580692583),marina,43.4828369,16.0801507,,
node/601465074,Drvenik Veliki,marina_no_facilities,43.4517302,16.1429094,,
node/602770087,Marina bez naziva (node/602770087),marina,43.5022898,16.2588884,,
node/620902702,Marina Betina,marina,43.8275626,15.6008697,https://www.marina-betina.com/,+385 22 434497; +385 22 434844
node/673411579,Fažana,marina,44.9279053,13.8016119,,
node/702191952,Malinska,marina,45.1252608,14.5261682,,
node/702247823,Luka Cres,marina_no_facilities,44.9588903,14.4082508,,+38 51 571-111
node/718040183,Marina Prelog,marina,46.323749,16.605692,,
node/746608887,Vodice,marina,43.7555527,15.7754192,,
node/746994698,Konoba Opat,marina,43.7393103,15.4528127,www.opat-kornati.com,+385 914732550; +385 91 2247878
node/765806299,Marina bez naziva (node/765806299),marina,42.7652202,16.8224645,,
node/849899425,Novalja,marina,44.5561365,14.8816623,,
node/904044259,Njivice,marina,45.1654133,14.5425449,,
node/975656823,"Velika Stupica, Insel Žirje",marina,43.6359262,15.6818561,,
node/975670739,Insel Vrgada A u. B (Westteil),marina,43.8621946,15.5016256,,
node/975671696,Pakoštane II,marina,43.9032409,15.5158306,,
node/975672424,Pakoštane I,marina,43.9056149,15.5014275,,
node/975673162,"Bucht Soline 2, Insel Pašman",marina,43.9256544,15.3596402,,
node/975673410,"Bucht Soline 1, Insel Pašman",marina,43.931357,15.3513683,,
node/975673705,"Zdrelašćica, Ugljan",marina,44.0199305,15.2544225,,
node/976073979,"Stržna, Dugi Otok",marina,44.069012,15.0048578,,
node/976076698,"Mljake, in Durchfahrt Zapuntel, Insel Ist",marina,44.2668861,14.7917616,,
node/976083445,"Bucht Sv. Nikola, Insel Olib",marina,44.3535695,14.7742092,,
node/976084047,Otok Olib,marina,44.3816329,14.7757864,,
node/976085806,Ankerplatz Ilovik,marina,44.4630856,14.5512533,https://www.ilovik.hr/kontakt,
node/1086060431,Lučica Porat,marina,45.1217241,14.4949963,,
node/1086060490,Lučica Vantačići,marina,45.1161501,14.504819,,
node/1248486909,Port Bol,marina,43.2615364,16.657635,https://www.bol.hr/,+385 635-903
node/1295941117,Marina bez naziva (node/1295941117),marina,43.9063441,15.5054123,,
node/1352175801,Maslinica,marina,43.3978832,16.2051255,,
node/1375139420,Marina Dalmatia,marina,44.0526052,15.3004796,http://www.marinadalmacija.hr,+385 23 200300
node/1378962758,Marina bez naziva (node/1378962758),marina,42.5823718,18.2162152,,
node/1389212409,Sućuraj,marina,43.1254913,17.1874063,,
node/1389246604,Marina bez naziva (node/1389246604),marina,43.1405115,17.014462,,
node/1394720950,Marina bez naziva (node/1394720950),marina,45.259125,13.5803699,,
node/1419109827,Marina bez naziva (node/1419109827),marina,44.9623179,14.0535817,,
node/1438365155,Marina bez naziva (node/1438365155),marina,43.2727623,17.0451833,,
node/1446296896,Marina bez naziva (node/1446296896),marina,42.6634872,18.0729675,,
node/1449508274,Volme,marina,44.8191223,13.8711119,http://www.volme.net/,+385 98 324 098
node/1457628310,Marina bez naziva (node/1457628310),marina,43.1340209,16.5864376,,
node/1478321664,Luka Koromačna,marina,44.7859201,14.4479607,,
node/1485695286,Marina bez naziva (node/1485695286),marina,44.2211428,15.1640669,,
node/1578590107,Marina LAV,marina,43.4915343,16.5375707,http://www.marinalav.hr/en/captains-corner/,
node/1599814456,Marina bez naziva (node/1599814456),marina,45.2077239,13.5922899,,
node/1613711110,Marina bez naziva (node/1613711110),marina,45.3121364,14.4746335,,
node/1613711217,Marina bez naziva (node/1613711217),marina,45.3138622,14.4705812,,
node/1628350131,Marina bez naziva (node/1628350131),marina,45.1579719,14.621029,,
node/1705773941,Bucht Triluke,marina,43.8909313,15.4416604,,
node/1706025615,Marina bez naziva (node/1706025615),marina,46.3239277,16.3761295,,
