id,naziv,lat,lon,grad,podrucje,zupanija,konacna_ocjena
1,AC Indije,44.82464,13.84613,Medulin,Banjole,Istarska,izvrsno
2,Banjole - Centener sumica,44.81886,13.85404,Medulin,Banjole,Istarska,izvrsno
3,Banjole - Odmaraliste Centener,44.82099,13.85421,Medulin,Banjole,Istarska,izvrsno
4,Banjole - Uvala,44.82155,13.84998,Medulin,Banjole,Istarska,izvrsno
5,Fratarski otok - prema kopnu,44.83007,13.84385,Pula,Banjole,Istarska,izvrsno
6,Barban - Blaz,45.00671666,14.04154444,Barban,Barban,Istarska,izvrsno
7,Barbariga - Mandriol,44.98713888,13.73994444,Vodnjan,Barbariga,Istarska,izvrsno
8,Hotel Pical - Bungalovi,45.23791,13.5929,Poreč,Borik,Istarska,izvrsno
9,Hotel Pical - Plaza Borik,45.23545,13.59498,Poreč,Borik,Istarska,izvrsno
10,Brestova - Uz pristaniste,45.14423,14.22297,Kršan,Brestova,Istarska,izvrsno
11,Nacionalni park Brijuni - Centralna plaza - drveni molo,44.91663,13.7778,Pula,Brijuni,Istarska,izvrsno
12,Hotel Rubin - Plaza Brulo,45.21582,13.59346,Poreč,Brulo,Istarska,izvrsno
13,Uvala Brulo - Plaza,45.21499,13.59086,Poreč,Brulo,Istarska,izvrsno
14,Crveni otok - Ispod vanjskih bazena,45.05786,13.62265,Rovinj,Crveni otok,Istarska,izvrsno
15,Crveni otok - Prema rtu Kurent,45.06036,13.62798,Rovinj,Crveni otok,Istarska,izvrsno
16,Crveni otok - Uvala istocno od nasipa,45.05753,13.62792,Rovinj,Crveni otok,Istarska,izvrsno
17,Crveni otok - Uvala zapadno od nasipa,45.0577,13.62531,Rovinj,Crveni otok,Istarska,izvrsno
18,Crveni otok - Zapadna strana otoka,45.05948,13.61885,Rovinj,Crveni otok,Istarska,izvrsno
19,"Otok Maskin - FKK, juzna strana otoka",45.05436,13.62427,Rovinj,Crveni otok,Istarska,izvrsno
20,CČervar - Porat,45.27621,13.59429,Poreč,Červar,Istarska,izvrsno
21,CČervar - Puntica Larun,45.27842,13.59573,Tar-Vabriga,Červar,Istarska,izvrsno
22,Duga Uvala - Hotel Croatia,44.92636,14.02701,Marčana,Duga Uvala,Istarska,izvrsno
23,Fazana - Djecje igraliste,44.92356,13.80156,Fažana,Fažana,Istarska,izvrsno
24,Fazana - Sjever,44.93007336177714,13.801698088645935,Fažana,Fažana,Istarska,izvrsno
25,AC Finida - Sredina,45.3918,13.53539,Umag,Finida,Istarska,izvrsno
26,AC Istra - Plaza Istra,45.17263,13.59253,Funtana,Funtana,Istarska,izvrsno
27,AC Puntica - Prema ribarskoj luci,45.17873,13.59865,Funtana,Funtana,Istarska,izvrsno
28,TN Funtana - Uvala Frnazine,45.17216,13.59595,Funtana,Funtana,Istarska,izvrsno
29,Hotel Girandella - Ispod restorana,45.07678,14.17062,Labin,Girandela,Istarska,izvrsno
30,Hotel Neptun - Ispod hotela,45.07798,14.17293,Labin,Girandela,Istarska,izvrsno
31,AC Kanegra - Bullea,45.4849,13.5679,Buje,Kanegra,Istarska,izvrsno
32,AC Kanegra - Ispod restorana,45.48854,13.56096,Buje,Kanegra,Istarska,izvrsno
33,AC Kanegra - Market,45.48663,13.56524,Buje,Kanegra,Istarska,izvrsno
34,TN Alberi - Skiper,45.49895,13.53377,Umag,Kanegra,Istarska,izvrsno
35,Karigador - Molo,45.35886,13.5465,Brtonigla,Karigador,Istarska,izvrsno
36,Otok Katarina - Prema marini,45.0782,13.63361,Rovinj,Katarina O.,Istarska,izvrsno
37,Otok Katarina - Uvala Lone,45.07594,13.62871,Rovinj,Katarina O.,Istarska,izvrsno
38,Katoro - Hotel Aurora,45.45615,13.51234,Umag,Katoro,Istarska,izvrsno
39,Katoro - Hotel Koralj,45.46239,13.51135,Umag,Katoro,Istarska,izvrsno
40,"Katoro - TN Polynesia, FKK",45.46594,13.50525,Umag,Katoro,Istarska,izvrsno
41,Katoro - Velestrin,45.46128,13.50948,Umag,Katoro,Istarska,izvrsno
42,AC Kazela - FKK,44.80401,13.95941,Medulin,Kazela,Istarska,izvrsno
43,AC Kazela - FKK III,44.80244,13.96454,Medulin,Kazela,Istarska,izvrsno
44,AC Kazela - Textil Strand,44.80391,13.95533,Medulin,Kazela,Istarska,izvrsno
45,Kolone - Uvala Sv. Jakov,45.00795,13.72023,Bale,Kolone,Istarska,izvrsno
46,Kolone - Uvala Sv. Pavao,45.02202,13.71285,Bale,Kolone,Istarska,izvrsno
47,Skaraba - Rt Rusi,45.06411,13.6427,Rovinj,Koronsun U.,Istarska,izvrsno
48,AC Koversada - Djecja plaza,45.1313,13.60835,Vrsar,Koversada,Istarska,izvrsno
49,AC Koversada - Pjescana plaza,45.13552,13.60067,Vrsar,Koversada,Istarska,izvrsno
50,AC Koversada - Rt Fujaga,45.13052,13.61074,Vrsar,Koversada,Istarska,izvrsno
51,Uvala Kuvi - Plaza,45.06567,13.65073,Rovinj,Kuvi,Istarska,izvrsno
52,AC Ladin Gaj - FKK (juzni dio),45.36733,13.53859,Brtonigla,Ladin Gaj,Istarska,izvrsno
53,Uvala Kanova - Ispod restorana,45.3717,13.5415,Brtonigla,Ladin Gaj,Istarska,izvrsno
54,Rt Malin - Ispod kafica Plaja,45.37275,13.53844,Umag,Ladin Gaj,Istarska,izvrsno
55,Hotel Lanterna - Ispod hotela (istok),45.07369,14.1675,Labin,Lanterna,Istarska,izvrsno
56,Hotel Lanterna - Ispod hotela (zapad),45.07259,14.16462,Labin,Lanterna,Istarska,izvrsno
57,Hotel Marina - Ispod hotela,45.0736,14.16322,Labin,Lanterna,Istarska,izvrsno
58,Hotel Merkur - Ispod hotela,45.07584,14.16917,Labin,Lanterna,Istarska,izvrsno
59,Hotel St. Andrea - Ispod hotela,45.0735,14.16077,Labin,Lanterna,Istarska,izvrsno
60,AC Lanterna - Plaza Valeta,45.29829,13.58924,Tar-Vabriga,Lanterna,Istarska,izvrsno
61,Lanterna - Debeli rt,45.30112,13.57598,Tar-Vabriga,Lanterna,Istarska,izvrsno
62,Lanterna - Rt Zub,45.29881,13.56808,Tar-Vabriga,Lanterna,Istarska,izvrsno
63,Lanterna - Uvala Valeta - sport,45.29942,13.58176,Tar-Vabriga,Lanterna,Istarska,izvrsno
64,TN Lanterna - Plaza Crnika,45.29472,13.57272,Tar-Vabriga,Lanterna,Istarska,izvrsno
65,TN Solaris - Plaza Galeb,45.28939,13.58059,Tar-Vabriga,Lanterna,Istarska,izvrsno
66,TN Solaris - Plaza Valetica,45.28307,13.59013,Tar-Vabriga,Lanterna,Istarska,izvrsno
67,TN Solaris - Uvala pod Ravnice,45.29147,13.57664,Tar-Vabriga,Lanterna,Istarska,izvrsno
68,Lone - Ispod hotela Monte Mulini,45.07198,13.63524,Rovinj,Lone U.,Istarska,izvrsno
69,Monte Mulini - Do lukobrana,45.07332,13.63437,Rovinj,Lone U.,Istarska,izvrsno
70,Lovrecica - Molo,45.381,13.53602,Umag,Lovreica,Istarska,izvrsno
71,Uvala Slanik,45.37907,13.54005,Umag,Lovreica,Istarska,izvrsno
72,AC Mareda - Ispod restorana,45.34198,13.54133,Novigrad,Mareda,Istarska,izvrsno
73,Mareda - Caffe Macumba,45.34478,13.53882,Novigrad,Mareda,Istarska,izvrsno
74,Rt Sv. Martin - Prema uvali Sv. Martin,45.25103,13.59093,Poreč,Materada,Istarska,izvrsno
75,AC Medulin - Mali poluotok (punta),44.80303,13.93141,Medulin,Medulin,Istarska,izvrsno
76,AC Medulin - Markovi brigi,44.80745,13.93201,Medulin,Medulin,Istarska,izvrsno
77,AC Medulin - Restoran Financa,44.80784,13.92623,Medulin,Medulin,Istarska,izvrsno
78,AC Medulin - Spoj mali poluotok,44.80509,13.92866,Medulin,Medulin,Istarska,izvrsno
79,AC Medulin - Skrape,44.80571,13.93092,Medulin,Medulin,Istarska,izvrsno
80,AC Medulin - Ulaz,44.81051,13.92679,Medulin,Medulin,Istarska,izvrsno
81,Hotel Belvedere - Molo,44.81019,13.9406,Medulin,Medulin,Istarska,izvrsno
82,Hotel Holiday - Ispod hotela,44.81109,13.93801,Medulin,Medulin,Istarska,izvrsno
83,Posesi - Posesi,44.8087,13.94187,Medulin,Medulin,Istarska,izvrsno
84,Uvala Bijeca - Plaza,44.80909,13.93345,Medulin,Medulin,Istarska,izvrsno
85,AC Amarin - Ispod restorana,45.10505,13.6128,Rovinj,Monsena,Istarska,izvrsno
86,AC Amarin - Molo,45.10359,13.61674,Rovinj,Monsena,Istarska,izvrsno
87,AC Amarin - pjescana plaza,45.10319,13.61891,Rovinj,Monsena,Istarska,izvrsno
88,TN Valdaliso - Rt Barabiga,45.09932,13.62285,Rovinj,Monsena,Istarska,izvrsno
89,Novigrad - Karpinjan,45.32173,13.55782,Novigrad,Novigrad,Istarska,izvrsno
90,Novigrad - Rivarela,45.31313888,13.5635,Novigrad,Novigrad,Istarska,izvrsno
91,Novigrad - Sv. Pelagij,45.3179,13.55823,Novigrad,Novigrad,Istarska,izvrsno
92,Novigrad - Zidine,45.31333,13.55994,Novigrad,Novigrad,Istarska,izvrsno
93,Pelegrin - Pelegrin,45.40580555,13.52441666,Umag,Pelegrin,Istarska,izvrsno
94,Spina - Spina,45.40148,13.52897,Umag,Pelegrin,Istarska,izvrsno
95,Peroj - Bozinka,44.94615532,13.78809195,Vodnjan,Peroj,Istarska,izvrsno
96,TN Petalon - Kamenita plaza,45.1397,13.59743,Vrsar,Petalon,Istarska,izvrsno
97,Pineta - jug,45.32638888,13.54580555,Novigrad,Pineta,Istarska,izvrsno
98,Pjescana Uvala - Plaza,44.83715,13.84575,Medulin,Pjeana uvala,Istarska,nezadovoljavajuće
99,Hotel Galiot - Ispod hotela,45.20804,13.5874,Poreč,Plava laguna,Istarska,izvrsno
100,Hotel Galiot - Prema uvali,45.2104,13.5883,Poreč,Plava laguna,Istarska,izvrsno
101,Restoran Istarska hiza - Plaza,45.21185,13.59001,Poreč,Plava laguna,Istarska,izvrsno
102,Plominski zaljev - Drazine istok,45.13265,14.18198,Kršan,Plomin,Istarska,izvrsno
103,Plominski zaljev - Drazine zapad,45.13315,14.17935,Kršan,Plomin,Istarska,izvrsno
104,AC Polari - Plaza Polari,45.05996,13.66984,Rovinj,Polari,Istarska,izvrsno
105,AC Polari - Prema rtu Bili Runci,45.05463,13.67431,Rovinj,Polari,Istarska,izvrsno
106,AC Polari - Prema rtu Eva,45.05535,13.67143,Rovinj,Polari,Istarska,izvrsno
107,Pomer - AC Pomer,44.81698,13.89939,Medulin,Pomer,Istarska,izvrsno
108,Pomer - Plaza prema ACY Marini,44.81848,13.90315,Medulin,Pomer,Istarska,izvrsno
109,Gradska plaza,45.22193,13.59246,Poreč,Poreč,Istarska,izvrsno
110,Hotel Riviera - Ispod hotela,45.22831,13.58834,Poreč,Poreč,Istarska,zadovoljavajuće
111,Peskera - Lijeva strana uvale,45.23003,13.59099,Poreč,Poreč,Istarska,dobro
112,Rt Bara - Plaza,45.21755,13.59124,Poreč,Poreč,Istarska,izvrsno
113,Sv. Duh - Bunker,45.2194,13.59158,Poreč,Poreč,Istarska,izvrsno
114,AC Stupice - Juzno od poluotoka,44.79358,13.91862,Medulin,Premantura,Istarska,zadovoljavajuće
