beach_id,grad,udaljenost_km
1,Medulin,7.15
2,Medulin,6.53
3,Medulin,6.51
4,Medulin,6.84
5,Pula,4.47
6,Barban,6.75
7,Vodnjan,9.14
8,Poreč,0.9
9,Poreč,0.75
10,Kršan,2.37
11,Pula,7.42
12,Poreč,1.65
13,Poreč,1.71
14,Rovinj,2.95
15,Rovinj,2.51
16,Rovinj,2.8
17,Rovinj,2.87
18,Rovinj,2.97
19,Rovinj,3.24
20,Poreč,5.12
21,Tar-Vabriga,2.93
22,Marčana,0.0
23,Fažana,0.4
24,Fažana,1.1
25,Umag,4.62
26,Funtana,1.04
27,Funtana,0.68
28,Funtana,0.8
29,Labin,4.03
30,Labin,4.15
31,Buje,11.07
32,Buje,11.73
33,Buje,11.35
34,Umag,7.46
35,Brtonigla,6.58
36,Rovinj,0.7
37,Rovinj,1.15
38,Umag,2.76
39,Umag,3.45
40,Umag,3.97
41,Umag,3.37
42,Medulin,2.67
43,Medulin,3.07
44,Medulin,2.47
45,Bale,6.39
46,Bale,6.17
47,Rovinj,1.85
48,Vrsar,1.98
49,Vrsar,1.57
50,Vrsar,2.09
51,Rovinj,1.82
52,Brtonigla,6.94
53,Brtonigla,6.64
54,Umag,6.75
55,Labin,3.97
56,Labin,3.84
57,Labin,3.69
58,Labin,3.97
59,Labin,3.53
60,Tar-Vabriga,2.24
61,Tar-Vabriga,3.28
62,Tar-Vabriga,3.89
63,Tar-Vabriga,2.82
64,Tar-Vabriga,3.57
65,Tar-Vabriga,3.13
66,Tar-Vabriga,2.85
67,Tar-Vabriga,3.35
68,Rovinj,1.1
69,Rovinj,1.01
70,Umag,5.81
71,Umag,6.08
72,Novigrad,3.36
73,Novigrad,3.73
74,Poreč,2.31
75,Medulin,2.13
76,Medulin,1.64
77,Medulin,1.76
78,Medulin,1.96
79,Medulin,1.85
80,Medulin,1.48
81,Medulin,1.33
82,Medulin,1.19
83,Medulin,1.51
84,Medulin,1.44
85,Rovinj,3.53
86,Rovinj,3.21
87,Rovinj,3.07
88,Rovinj,2.54
89,Novigrad,0.76
90,Novigrad,0.31
91,Novigrad,0.44
92,Novigrad,0.38
93,Umag,2.96
94,Umag,3.47
95,Vodnjan,5.1
96,Vrsar,1.26
97,Novigrad,1.78
98,Medulin,7.37
99,Poreč,2.48
100,Poreč,2.21
101,Poreč,2.05
102,Kršan,1.1
103,Kršan,1.27
104,Rovinj,3.2
105,Rovinj,3.87
106,Rovinj,3.66
107,Medulin,2.99
108,Medulin,2.67
109,Poreč,0.97
110,Poreč,0.22
111,Poreč,0.17
112,Poreč,1.43
113,Poreč,1.23
114,Medulin,3.45
115,Medulin,2.94
116,Medulin,2.21
117,Umag,1.21
118,Umag,1.7
119,Umag,1.74
120,Rovinj,1.32
121,Rovinj,2.15
122,Rovinj,1.48
123,Rovinj,1.84
124,Pula,4.43
125,Pula,4.47
126,Labin,2.7
127,Labin,2.82
128,Raša,1.96
129,Raša,2.15
130,Rovinj,0.95
131,Umag,6.49
132,Umag,7.34
133,Umag,5.98
134,Umag,1.85
135,Umag,1.82
136,Umag,2.05
137,Umag,2.5
138,Umag,2.39
139,Pula,2.93
140,Pula,3.14
141,Pula,3.04
142,Pula,2.6
143,Pula,2.32
144,Pula,2.24
145,Pula,2.97
146,Raša,2.45
147,Raša,2.45
148,Raša,2.58
149,Poreč,0.66
150,Poreč,0.91
151,Poreč,1.78
152,Poreč,1.9
153,Poreč,1.18
154,Poreč,1.6
155,Poreč,1.43
156,Novigrad,1.1
157,Novigrad,0.98
158,Novigrad,0.81
159,Raša,6.13
160,Poreč,2.73
161,Poreč,3.2
162,Poreč,3.39
163,Poreč,2.89
164,Umag,0.76
165,Umag,0.43
166,Rovinj,4.89
167,Rovinj,5.49
168,Rovinj,5.22
169,Fažana,0.57
170,Fažana,0.94
171,Vrsar,1.52
172,Vrsar,1.82
173,Pula,2.33
174,Pula,2.65
175,Pula,2.47
176,Pula,2.41
177,Pula,2.95
178,Pula,3.68
179,Pula,3.88
180,Pula,4.13
181,Pula,4.02
182,Pula,3.55
183,Pula,4.25
184,Rovinj,4.89
185,Rovinj,5.02
186,Rovinj,2.58
187,Rovinj,2.21
188,Vrsar,0.76
189,Vrsar,0.86
190,Vrsar,0.81
191,Vrsar,0.85
192,Vrsar,0.64
193,Umag,4.5
194,Funtana,2.0
195,Funtana,2.2
196,Funtana,1.72
